Id,Module,Label,Path
TTrips.TripListCompactCellViewExt0,TTrips,TripListCompactCellViewExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripsList/View/CompactCell/TripListCompactCellModel.swift
THotelCollectionsMap.HotelCollectionsMapEffectHandler,THotelCollectionsMap,HotelCollectionsMapEffectHandler,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/HotelCollectionsMap/Impl/HotelCollectionsMapEffectHandler.swift
TProto.Travel_App_Backend_Api_Travelers_V1_DocumentExt0,TProto,Travel_App_Backend_Api_Travelers_V1_DocumentExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/travelers_v1_travelers.pb.swift
TCheckout.SplitPlansView_Previews.PreviewModifier,TCheckout,SplitPlansView_Previews.PreviewModifier,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Checkout/Impl/SplitPlans/Views/SplitPlansView.swift
TTrips.TripGuideBridgesServiceExt0,TTrips,TripGuideBridgesServiceExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripGuide/Service/TripGuideBridgesService.swift
Travel.AviaSliderFilterView_Previews,Travel,AviaSliderFilterView_Previews,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/Filters/Avia/Views/DepartureArrivalFilter/AviaSliderFilterView.swift
TSmartCamera.WebContainerExt0,TSmartCamera,WebContainerExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/SmartCamera/Impl/WebContainer+ImageSearchResultsContainer.swift
Travel.HotelRoomsViewExt0,Travel,HotelRoomsViewExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/HotelRooms/Views/HotelRoomsView+Model.swift
TProto.Travel_App_Backend_Api_Commonorder_V1_SplitPaymentTypeExt0,TProto,Travel_App_Backend_Api_Commonorder_V1_SplitPaymentTypeExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/commonorder_v1_commonpayment.pb.swift
TProto.Travel_App_Backend_Api_Hotels_V1_RoomAreaUnitsExt0,TProto,Travel_App_Backend_Api_Hotels_V1_RoomAreaUnitsExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/hotels_v1_offers.pb.swift
TProto.Travel_App_Backend_Api_Helpcenter_V1_SupportContacts,TProto,Travel_App_Backend_Api_Helpcenter_V1_SupportContacts,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/helpcenter_v1_help_center.pb.swift
TPersistance.ProxyCoder,TPersistance,ProxyCoder,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Persistance/Impl/ProxyCoder.swift
TProto.Travel_App_Backend_Api_Hotels_V1_PromoBonusDiscount,TProto,Travel_App_Backend_Api_Hotels_V1_PromoBonusDiscount,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/hotels_v1_hotels.pb.swift
TProto.Travel_App_Backend_Api_Hotels_V1_AddReviewReqExt0,TProto,Travel_App_Backend_Api_Hotels_V1_AddReviewReqExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/hotels_v1_reviews.pb.swift
TProto.Travel_App_Backend_Api_Common_V1_SbpPromoInfo,TProto,Travel_App_Backend_Api_Common_V1_SbpPromoInfo,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/common_v1_badges.pb.swift
TAppConfig.NetworkContentTypeStateExt0.Effect,TAppConfig,NetworkContentTypeStateExt0.Effect,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/AppConfig/Impl/NetworkContentType/NetworkContentTypeState.swift
TPlus.PlusCashbackBadge,TPlus,PlusCashbackBadge,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Plus/Impl/PlusCashbackBadge.swift
TAnalytics.MockMetricSenderExt0,TAnalytics,MockMetricSenderExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Analytics/Impl/AppEnvironmentSender.swift
TProto.Travel_App_Backend_Api_Commonorder_V1_AlertMessage,TProto,Travel_App_Backend_Api_Commonorder_V1_AlertMessage,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/commonorder_v1_order.pb.swift
THelpCenter.ContactSupportStateMachine,THelpCenter,ContactSupportStateMachine,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/HelpCenter/Impl/Common/Stores/ContactSupportStateMachine.swift
TravelUnitTests.FinalStoryStoreTests,TravelUnitTests,FinalStoryStoreTests,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/UnitTests/TestCases/FinalStoryStoreTests.swift
TTrips.BridgesView,TTrips,BridgesView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripGuide/View/Bridges/BridgesView.swift
TUIComponents.HotelPriceView,TUIComponents,HotelPriceView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIComponents/Impl/HotelSnippet/Views/HotelPriceView.swift
TTrips.WebViewTripModel,TTrips,WebViewTripModel,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/DiscoveryTrips/Mappers/WebViewTripModel.swift
TInputs.TrainsFocusedInputStateMachineExt0.Action,TInputs,TrainsFocusedInputStateMachineExt0.Action,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Inputs/Impl/Services/TrainsFocusedInputStateMachine.swift
TTrips.SeasideResortFlagsDetailsModelExt0,TTrips,SeasideResortFlagsDetailsModelExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripGuide/Mappers/SeasideResortFlagsDetailsModel+protoMapper.swift
TProto.Travel_App_Backend_Api_Avia_V1_SearchFiltersReq.DepartureOrArrivalInterval,TProto,Travel_App_Backend_Api_Avia_V1_SearchFiltersReq.DepartureOrArrivalInterval,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/avia_v1_avia.pb.swift
Travel.HotelReviewsSkeleton,Travel,HotelReviewsSkeleton,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/HotelReviews/Views/HotelReviewsSkeleton.swift
TTrips.SkiResortCamerasView_Previews.PreviewModifier,TTrips,SkiResortCamerasView_Previews.PreviewModifier,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripGuide/View/SkiResort/Cameras/SkiResortCamerasView.swift
TProto.Travel_App_Backend_Api_Hotelscommon_V1_LoyaltyTooltipPlus,TProto,Travel_App_Backend_Api_Hotelscommon_V1_LoyaltyTooltipPlus,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/hotelscommon_v1_loyalty_notification.pb.swift
TLocation.CoordinateExt0,TLocation,CoordinateExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Location/Impl/Coordinate+CLLocationCoordinate2D.swift
TLoyaltyContext.InformerView,TLoyaltyContext,InformerView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/LoyaltyContext/Impl/Informer/InformerView.swift
TUIComponents.IconTextBadgeView_Previews.PreviewModifier,TUIComponents,IconTextBadgeView_Previews.PreviewModifier,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIComponents/Impl/TextBadges/IconTextBadgeView.swift
THotelDetailsMap.CompilationListBridgesViewExt0.Model,THotelDetailsMap,CompilationListBridgesViewExt0.Model,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/HotelDetailsMap/Impl/CompilationList/View/Items/Bridge/CompilationListBridgesViewModel.swift
TProto.Travel_App_Backend_Api_Travelers_V1_UpdateDocumentReqExt0,TProto,Travel_App_Backend_Api_Travelers_V1_UpdateDocumentReqExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/travelers_v1_travelers_api.pb.swift
TWebView.WebViewGraphExt0.Config,TWebView,WebViewGraphExt0.Config,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/WebView/Impl/WebViewGraph+Config.swift
TInputs.WeekendSuggestInputState,TInputs,WeekendSuggestInputState,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Inputs/Impl/Views/Suggest/Weekend/WeekendSuggestInputState.swift
TProto.Travel_App_Backend_Api_Hotelscommon_V1_CoordinatesArrayExt0,TProto,Travel_App_Backend_Api_Hotelscommon_V1_CoordinatesArrayExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/hotelscommon_v1_common.pb.swift
THotelSerp.HotelsNotFoundViewExt0,THotelSerp,HotelsNotFoundViewExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/HotelSerp/Impl/View/HotelsNotFound/HotelsNotFoundView+Model.swift
Travel.GodSandboxView,Travel,GodSandboxView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/DebugView/GodSandboxView.swift
TTripSummaryAPI.TripSummaryPermissionsStoryModel,TTripSummaryAPI,TripSummaryPermissionsStoryModel,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/TripSummary/API/Stories/TripSummaryPermissionsStories.swift
TReviewToHotel.RateHotelWriteReviewView,TReviewToHotel,RateHotelWriteReviewView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/ReviewToHotel/Impl/Views/RateHotelWriteReviewView.swift
TUIComponents.SegmentedControlContainer,TUIComponents,SegmentedControlContainer,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIComponents/Impl/SegmentedControl/Views/SegmentedControlContainer.swift
Travel.HotelCollectionsInputsView,Travel,HotelCollectionsInputsView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/HotelsCollection/Subviews/HotelCollectionsInputsView.swift
TProto.Travel_App_Backend_Api_Serverconfig_V1_PushCategoriesConfig,TProto,Travel_App_Backend_Api_Serverconfig_V1_PushCategoriesConfig,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/serverconfig_v1_server_config.pb.swift
Travel.DiscoveryFetchingService,Travel,DiscoveryFetchingService,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/Discovery/Service/DiscoveryFetchingService.swift
Travel.HotelSerpSnippetType,Travel,HotelSerpSnippetType,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/Serp/Views/HotelsSerpView.swift
TProto.Travel_App_Backend_Api_Trips_V1_TripWidget,TProto,Travel_App_Backend_Api_Trips_V1_TripWidget,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/trips_v1_widget.pb.swift
NotificationsInContextUnitTests.Manager,NotificationsInContextUnitTests,Manager,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/NotificationsInContext/UnitTests/NotificationsSchedulerTests.swift
TUIComponents.CrossedTextView_Previews.PreviewModifier,TUIComponents,CrossedTextView_Previews.PreviewModifier,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIComponents/Impl/CrossedTextView/CrossedTextView.swift
TAnalytics.PushModalAnalyticsModelExt0,TAnalytics,PushModalAnalyticsModelExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Analytics/Impl/PushModalAnalyticsModel.swift
TTrips.TripListCompactCellView,TTrips,TripListCompactCellView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripsList/View/CompactCell/TripListCompactCellView.swift
TFavorites.FavoritesListsItemViewExt0,TFavorites,FavoritesListsItemViewExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Favorites/Impl/FavoritesLists/Views/FavoritesListsItemView.swift
THotelDetailsMap.MapLayersService,THotelDetailsMap,MapLayersService,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/HotelDetailsMap/Impl/HotelMap/Service/MapLayersService.swift
TUIUtils.RemoteImageExt1,TUIUtils,RemoteImageExt1,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIUtils/Impl/ImageLoading/RemoteImage/RemoteImage.swift
TProto.Travel_App_Backend_Api_Urlparser_V1_HotelsSearchResultsExt0,TProto,Travel_App_Backend_Api_Urlparser_V1_HotelsSearchResultsExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/urlparser_v1_screen.pb.swift
TUniversalOnboarding.UniversalOnboardingView_Previews,TUniversalOnboarding,UniversalOnboardingView_Previews,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UniversalOnboarding/Impl/View/UniversalOnboardingView.swift
TUIComponents.RatingView,TUIComponents,RatingView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIComponents/Impl/HotelSnippet/Views/RatingView.swift
Travel.AviaDetailsCell_Previews,Travel,AviaDetailsCell_Previews,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/HappyPage/Views/Cells/AviaDetailsCell.swift
Travel.FullReviewViewExt0.Model,Travel,FullReviewViewExt0.Model,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/FullReview/FullReviewView+Model.swift
TravelUITests.UpdateTests,TravelUITests,UpdateTests,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/UITests/Cases/UpdateTests.swift
TravelUITests.LoyaltyProgramTests,TravelUITests,LoyaltyProgramTests,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/UITests/Cases/LoyaltyProgramTests.swift
TNavigation.NavigationLoggingService,TNavigation,NavigationLoggingService,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Navigation/Impl/NavigationLoggingService.swift
Travel.CheckoutDeeplinkModel,Travel,CheckoutDeeplinkModel,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/Deeplinking/Models/CheckoutDeeplinkModel.swift
TAppConfig.AppConfigStateExt0.Action,TAppConfig,AppConfigStateExt0.Action,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/AppConfig/Impl/AppConfigState.swift
TNotificationsInContext.NotificationsRequestScheduleExt0,TNotificationsInContext,NotificationsRequestScheduleExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/NotificationsInContext/Impl/Services/NotificationsRequestScheduler.swift
TProto.Travel_App_Backend_Api_Weekend_V1_SuggestCitiesRequest,TProto,Travel_App_Backend_Api_Weekend_V1_SuggestCitiesRequest,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/weekend_v1_weekend_api.pb.swift
TProto.Travel_App_Backend_Api_Commonorder_V1_CommandPaymentExt0,TProto,Travel_App_Backend_Api_Commonorder_V1_CommandPaymentExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/commonorder_v1_order.pb.swift
TProto.Travel_App_Backend_Api_Trips_V1_WeatherForecast,TProto,Travel_App_Backend_Api_Trips_V1_WeatherForecast,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/trips_v1_point.pb.swift
TTrips.TripGuideCityModelExt0,TTrips,TripGuideCityModelExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Trips/Impl/TripGuide/Mappers/TripGuideCityModel+protoMapper.swift
TravelUITests.SmartRatingTests,TravelUITests,SmartRatingTests,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/UITests/Cases/SmartRatingTests.swift
TURLOpener.SystemURLOpener,TURLOpener,SystemURLOpener,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/URLOpener/Impl/SystemURLOpener.swift
TTripSummary.WelcomeStoryViewExt0.Layout,TTripSummary,WelcomeStoryViewExt0.Layout,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/TripSummary/Impl/Stories/WelcomeStory/View/WelcomeStoryView.swift
THotelCore.HotelIdExt0,THotelCore,HotelIdExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/HotelCore/Impl/HotelId.swift
TProto.Travel_App_Backend_Api_Commonorder_V1_Button,TProto,Travel_App_Backend_Api_Commonorder_V1_Button,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/commonorder_v1_order.pb.swift
TProto.Travel_App_Backend_Api_Weekend_V1_ListCitiesResponse,TProto,Travel_App_Backend_Api_Weekend_V1_ListCitiesResponse,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/weekend_v1_weekend_api.pb.swift
Travel.HotelNameLabel,Travel,HotelNameLabel,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/HotelDetails/Views/HotelDetails/HotelNameLabel.swift
TravelUnitTests.DiscoveryTests,TravelUnitTests,DiscoveryTests,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/UnitTests/SnapshotTests/DiscoveryTests.swift
Travel.HotelDetailsInputsView,Travel,HotelDetailsInputsView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Travel/Impl/Modules/HotelDetails/Views/HotelDetails/HotelDetailsInputsView.swift
THotelDetailsMap.PlaceDetailsView,THotelDetailsMap,PlaceDetailsView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/HotelDetailsMap/Impl/PlaceDetails/PlaceDetailsView.swift
TProto.Travel_App_Backend_Api_Avia_V1_SearchFiltersReq.AviacompanyFilter,TProto,Travel_App_Backend_Api_Avia_V1_SearchFiltersReq.AviacompanyFilter,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/avia_v1_avia.pb.swift
TUIUtils.KeyWindowsKey,TUIUtils,KeyWindowsKey,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIUtils/Impl/EnvironmentValues+keyWindow.swift
TUIComponents.VisualEffectView,TUIComponents,VisualEffectView,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/UIComponents/Impl/VisualEffectView.swift
TProto.Travel_App_Backend_Api_Trips_V1_SeasideResortFlagExt0,TProto,Travel_App_Backend_Api_Trips_V1_SeasideResortFlagExt0,/Users/rofle100lvl/arcadia/mobile/travel/ios/Targets/Proto/Impl/trips_v1_point.pb.swift
