Source,Target,Type
TFilters.FilterBlockContainer,TUIComponents.Chip,directed
TFilters.FilterBlockContainer,TFilters.FilterBlockState,directed
TFilters.FilterBlockContainer,TFilters.FilterBlockView,directed
TFilters.FilterBlockContainer,TFilters.FilterBlockEffectHandler,directed
THotelDetailsMap.ParkingLayerAdapter,THotelDetailsMap.ParkingLayerAdapterExt0,directed
THotelDetailsMap.ParkingLayerAdapter,THotelDetailsMap.HotelMapStateMachine,directed
THotelDetailsMap.ParkingLayerAdapter,THotelDetailsMap.ParkingLayerAdapterExt1,directed
TProto.Travel_App_Backend_Api_Avia_V1_InitSearchRsp,TProto.Travel_App_Backend_Api_Avia_V1_InitSearchRspExt0,directed
Travel.AviaTransfersFilterModel.WithoutAirportChangeOption,TUIComponents.FilterTitleView,directed
Travel.AviaTransfersFilterModel.WithoutAirportChangeOption,TLocalization.TLocalizationStrings,directed
Travel.AviaTransfersFilterModel.WithoutAirportChangeOption,TUIComponents.FilterTitleType,directed
TravelUITests.HelpCenterTests,TravelUITests.HelpCenterTestsExt4,directed
TravelUITests.HelpCenterTests,TravelUITests.HelpCenterTestsExt2,directed
TravelUITests.HelpCenterTests,TravelUITests.HelpCenterTestsExt1,directed
TravelUITests.HelpCenterTests,TravelUITests.HelpCenterTestsExt0,directed
TravelUITests.HelpCenterTests,TravelUITests.DiscoveryScreen,directed
TravelUITests.HelpCenterTests,TravelUITests.HelpCenterTestsExt5,directed
TravelUITests.HelpCenterTests,TravelUITests.HelpCenterTestsExt3,directed
TUIComponents.ListWithTitleViewExt0.Model,TUIUtils.Callbacks,directed
TProto.Travel_App_Backend_Api_Hotels_V1_PollingRspDataExt0,TProto.Travel_App_Backend_Api_Hotels_V1_PollingRspData,directed
TInputs.HotelGuestsCountersStack_Previews,TUtils.Clamping,directed
TInputs.HotelGuestsCountersStack_Previews,TInputs.HotelGuestsCountersStack,directed
TProto.Travel_App_Backend_Api_Hotels_V1_DeleteReviewRsp,TProto.Travel_App_Backend_Api_Hotels_V1_DeleteReviewRspExt0,directed
Travel.PromoCodeStateMachineExt1,Travel.PromoCodeStateMachine,directed
Travel.PromoCodeStateMachineExt1,Travel.StubPromoCodeService,directed
Travel.FavoriteHotelsList,Travel.HotelSkeleton,directed
Travel.FavoriteHotelsList,TUIComponents.InaccessibleContentPlaceholder,directed
Travel.FavoriteHotelsList,Travel.FavoriteHotelsListHeader,directed
Travel.FavoriteHotelsList,TLocalization.TLocalizationStrings,directed
Travel.FavoriteHotelsList,Travel.FavoriteHotelsListExt0,directed
Travel.FavoriteHotelsList,TUIComponents.RoundSystemActivityIndicator,directed
TCheckout.CancellationInfoModelExt0,TAnywhere.Proto,directed
TForceUpdate.UpdateHandler,TForceUpdateAPI.UpdateReminderModel,directed
TForceUpdate.UpdateHandler,TForceUpdate.UpdatePersistenceContainer,directed
TForceUpdate.UpdateHandler,TForceUpdateAPI.UpdateInfoModel,directed
TForceUpdate.UpdateHandler,TForceUpdateAPI.UpdateInfoStateMachine,directed
TForceUpdate.UpdateHandler,TForceUpdateAPI.UpdateBannerModel,directed
TProto.Travel_App_Backend_Api_Home_V1_SendUserDataResponseExt0,TProto.Travel_App_Backend_Api_Home_V1_SendUserDataResponse,directed
TProto.Travel_App_Backend_Api_Travelers_V1_GetBonusCardRspExt0,TProto.Travel_App_Backend_Api_Travelers_V1_GetBonusCardRsp,directed
Travel.HotelMiniSnippetViewExt0,Travel.HotelMiniSnippetViewExt0.Model,directed
TProto.Travel_App_Backend_Api_Promo_V1_PromoCampaign1Ext0,TProto.Travel_App_Backend_Api_Promo_V1_PromoCampaign1,directed
TProto.Travel_App_Backend_Api_Promo_V1_PromoCampaign1Ext0,TProto.Travel_App_Backend_Api_Promo_V1_PromoCampaign1Ext0._StorageClass,directed
TProto.Travel_App_Backend_Api_Notifications_V1_UpdateSubscriptionsResponse,TProto.Travel_App_Backend_Api_Notifications_V1_NotificationType,directed
TProto.Travel_App_Backend_Api_Notifications_V1_UpdateSubscriptionsResponse,TProto.Travel_App_Backend_Api_Notifications_V1_UpdateSubscriptionsResponseExt0,directed
TProto.Travel_App_Backend_Api_Travelers_V1_BonusCard,TProto.Travel_App_Backend_Api_Travelers_V1_FieldValue,directed
TProto.Travel_App_Backend_Api_Travelers_V1_BonusCard,TProto.Travel_App_Backend_Api_Travelers_V1_BonusCardExt0,directed
TProto.Travel_App_Backend_Api_Hotelorder_V1_EstimateDiscountReq,TProto.Travel_App_Backend_Api_Hotelorder_V1_EstimateDiscount,directed
TProto.Travel_App_Backend_Api_Hotelorder_V1_EstimateDiscountReq,TProto.Travel_App_Backend_Api_Commonorder_V1_OrderPaymentSchema,directed
TProto.Travel_App_Backend_Api_Hotelorder_V1_EstimateDiscountReq,TProto.Travel_App_Backend_Api_Hotelorder_V1_EstimateDiscountReqExt0,directed
TravelUITests.HelpCenterScreen,TravelUITests.ProfileScreen,directed
TravelUITests.HelpCenterScreen,TravelUITests.HelpCenterArticleScreen,directed
TravelUITests.HelpCenterScreen,TravelUITests.MessengerScreen,directed
TravelUITests.HelpCenterScreen,TUITestsHelper.UITestElement,directed
TProto.Travel_App_Backend_Api_Promocommon_V1_PlusDiscount,TProto.Travel_App_Backend_Api_Promocommon_V1_PlusDiscountExt0,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetFavoritesReq,TProto.Travel_App_Backend_Api_Hotelscommon_V1_PagingParams,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetFavoritesReq,TProto.Travel_App_Backend_Api_Hotelscommon_V1_OfferSearchParams,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetFavoritesReq,TProto.Travel_App_Backend_Api_Hotelscommon_V1_AnalyticsData,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetFavoritesReq,TProto.Travel_App_Backend_Api_Hotelscommon_V1_ImageParams,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetFavoritesReq,TProto.Travel_App_Backend_Api_Hotels_V1_GetFavoritesReqExt0,directed
TProto.Travel_App_Backend_Api_Tripstestcontext_V1_StepsFactExt0,TProto.Travel_App_Backend_Api_Tripstestcontext_V1_StepsFact,directed
TAccountManagement.AccountManagerLoginer,TAccountManagement.AccountSetter,directed
TAccountManagement.AccountManagerLoginer,TAccountManagement.AuthStateMachine,directed
TAccountManagement.AccountManagerLoginer,TAccount.Account,directed
TProto.Travel_App_Backend_Api_Hotels_V1_QueryDataExt0._StorageClass,TProto.Google_Type_Date,directed
TProto.Travel_App_Backend_Api_Hotels_V1_QueryDataExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotelscommon_V1_BoundingBox,directed
TProto.Travel_App_Backend_Api_Hotels_V1_QueryDataExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotelscommon_V1_Coordinates,directed
TProto.Travel_App_Backend_Api_Hotels_V1_QueryDataExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotels_V1_GeoLocationStatus,directed
TProto.Travel_App_Backend_Api_Hotels_V1_QueryDataExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotels_V1_QueryData,directed
TProto.Travel_App_Backend_Api_Hotels_V1_QueryDataExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotels_V1_StartSearchReason,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_MapObjectButtonExt0,TProto.Travel_App_Backend_Api_Maprecommendations_V1_MapObjectButton,directed
TAdjust.AdjustEventExt0,TAdjust.AdjustEvent,directed
THotelDetailsMap.CompilationPlaceSkeleton_Previews,TUIUtils.IdentityViewModifier,directed
THotelDetailsMap.CompilationPlaceSkeleton_Previews,THotelDetailsMap.CompilationPlaceSkeleton,directed
TTripSummary.FinalStoryView_Previews,TUIUtils.IdentityViewModifier,directed
TTripSummary.FinalStoryView_Previews,TTripSummary.FinalStoryView,directed
THotelDetailsMap.LayerListViewExt0,THotelDetailsMap.LayerListViewExt0.Model,directed
THelpCenter.ContactSupportService,THelpCenter.ContactSupportServiceExt1,directed
THelpCenter.ContactSupportService,THelpCenter.ContactSupportServiceExt0,directed
THelpCenter.ContactSupportService,TAccountManagement.AuthStateMachine,directed
Travel.GodSandboxView,Travel.GodSandboxViewExt0,directed
Travel.GodSandboxView,Travel.FlagsEditorState,directed
Travel.GodSandboxView,TFeatureFlags.Predefined,directed
TInputs.StubTrainsSuggestNavigator,TSnackbar.SnackbarStateMachine,directed
TProto.Travel_App_Backend_Api_Avia_V1_Snippet.CarryOn,TProto.Travel_App_Backend_Api_Avia_V1_Snippet.CarryOn.OneOf_OptionalWeight,directed
TProto.Travel_App_Backend_Api_Avia_V1_Snippet.CarryOn,TProto.Travel_App_Backend_Api_Avia_V1_Snippet,directed
TProto.Travel_App_Backend_Api_Common_V1_ExternalURL,TProto.Travel_App_Backend_Api_Common_V1_ExternalURLExt0,directed
TInputs.CityQuickInputsEffectHandlerExt0,TAnalyticsTestKit.MockMetricSender,directed
TInputs.CityQuickInputsEffectHandlerExt0,TInputs.StubCityQuickInputsNavigator,directed
TNetwork.JWTState,TNetwork.JWTStateExt0,directed
TNetwork.JWTState,TUtils.Loadable,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_CommonObjectDetails,TProto.Travel_App_Backend_Api_Maprecommendations_V1_BridgeDetails,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_CommonObjectDetails,TProto.Travel_App_Backend_Api_Maprecommendations_V1_ObjectAmenity,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_CommonObjectDetails,TProto.Travel_App_Backend_Api_Maprecommendations_V1_MapObjectButton,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_CommonObjectDetails,TProto.Travel_App_Backend_Api_Maprecommendations_V1_CommonObjectDetailsExt0,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_CommonObjectDetails,TProto.Travel_App_Backend_Api_Maprecommendations_V1_OpenHoursAtDay,directed
TForceUpdateAPI.UpdateInfoModel,TForceUpdateAPI.UpdateInfoModelExt0,directed
TravelUnitTests.GettingReadyForJourneyCellTests,Travel.GettingReadyForJourneyCell_Previews,directed
TMapKit.BridgePinView_Previews,TMapKit.BridgePinView,directed
TMapKit.BridgePinView_Previews,TMapKit.BridgePinView_Previews.PreviewModifier,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_ListLayersRequest,TProto.Travel_App_Backend_Api_Maprecommendations_V1_CommonRequestData,directed
TProto.Travel_App_Backend_Api_Maprecommendations_V1_ListLayersRequest,TProto.Travel_App_Backend_Api_Maprecommendations_V1_ListLayersRequestExt0,directed
TLoyaltyProgramAPI.NewLoyaltyProfileBannerViewModel,TLoyaltyProgramAPI.NewLoyaltyProfileBannerViewState,directed
TLoyaltyProgramAPI.NewLoyaltyProfileBannerViewModel,TLoyaltyProgramAPI.NewLoyaltyProfileBannerViewModel,directed
Travel.DeeplinkHandler,TForceUpdateAPI.UpdateInfoStateMachine,directed
Travel.DeeplinkHandler,Travel.DeeplinkHandlerExt0,directed
Travel.DeeplinkHandler,TAnalytics.Source,directed
Travel.DeeplinkHandler,Travel.DeeplinkModel,directed
Travel.DeeplinkHandler,TAnalytics.MetricEvent,directed
Travel.DeeplinkHandler,Travel.DeeplinkWaitingStateMachine,directed
TProto.Travel_App_Backend_Api_Urlparser_V1_ScreenExt0._StorageClass,TProto.Travel_App_Backend_Api_Urlparser_V1_Screen,directed
TInputs.TrainsQueryPoint,TInputs.TrainsQueryPointExt0,directed
TInputs.TrainsQueryPoint,TAnywhere.Proto,directed
Travel.HotelReviewSortIdExt0,TAnywhere.Proto,directed
TProto.Travel_App_Backend_Api_Promo_V1_LoyaltyBenefitExt0,TProto.Travel_App_Backend_Api_Promo_V1_LoyaltyBenefit,directed
THelpCenter.HelpCenterArticleView,THelpCenter.ContactSupportView,directed
THelpCenter.HelpCenterArticleView,TUIComponents.PlainButton,directed
THelpCenter.HelpCenterArticleView,TUIComponents.ToolBarModel,directed
THelpCenter.HelpCenterArticleView,TMarkdown.MarkdownView,directed
THelpCenter.HelpCenterArticleView,THelpCenter.HelpCenterArticleViewExt0,directed
TInputs.TrainsSuggestInputStateMachineExt0.Action,TAnywhere.Proto,directed
TAnalytics.MetricEventExt0.HotelContext,TUtils.MetricPayloadBuilder,directed
TAnalytics.MetricEventExt0.HotelContext,TAnalytics.MetricEvent,directed
TProto.Travel_App_Backend_Api_Trips_V1_UpdateSummarySettingsResponseExt0,TProto.Travel_App_Backend_Api_Trips_V1_UpdateSummarySettingsResponse,directed
TInputs.SearchChildrenListView_Previews.SearchChildrenListViewContainer,TInputs.SearchChildrenListView,directed
TInputs.SearchChildrenListView_Previews.SearchChildrenListViewContainer,TModels.ChildAge,directed
TProto.Travel_App_Backend_Api_Home_V1_GetScreenContentRequest,TProto.Travel_App_Backend_Api_Home_V1_GetScreenContentRequestExt0,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AviaCompaniesFilterView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AviaFiltersListView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AirportsFilterView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AviaIntervalFiltersView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AviaTransfersFilterView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AviaSliderFilterView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AviaTransferOptionListView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.TransferAirportsView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.TransferDurationView_Previews,directed
TravelUnitTests.AviaFiltersViewTests,Travel.AirportsListView_Previews,directed
TProto.Travel_App_Backend_Api_Serverconfig_V1_ServerConfigReq,TProto.Travel_App_Backend_Api_Serverconfig_V1_ServerConfigReqExt0,directed
TProto.Travel_App_Backend_Api_Serverconfig_V1_AviaSearchForm,TProto.Travel_App_Backend_Api_Serverconfig_V1_AviaSearchFormExt0,directed
TProto.Travel_App_Backend_Api_Serverconfig_V1_AviaSearchForm,TProto.Travel_App_Backend_Api_Serverconfig_V1_SearchFormLimit,directed
TInputs.RoutePointsPreview,TInputs.RoutePointsPreviewExt0,directed
Travel.HotelsFilter,Travel.HotelsFilterExt0,directed
Travel.HotelsFilter,Travel.HotelsFilter.Option,directed
TProto.Travel_App_Backend_Api_Serverconfig_V1_Alert,TProto.Travel_App_Backend_Api_Serverconfig_V1_AlertExt0,directed
TTripSummary.TripSummaryGraph,TTripSummary.FetchWidgetService,directed
TTripSummary.TripSummaryGraph,TTripSummary.TripSummaryGraphExt0,directed
TTripSummary.TripSummaryGraph,TAccountManagement.AuthStateMachine,directed
TTripSummary.TripSummaryGraph,TTripSummary.BrandingView,directed
TTripSummary.TripSummaryGraph,TTripSummary.ImageLoader,directed
TTripSummary.TripSummaryGraph,TTripSummary.WidgetState,directed
TTripSummary.TripSummaryGraph,TTripSummary.MockStorySaver,directed
TTripSummary.TripSummaryGraph,TTripSummary.StoriesAnalyticsModel,directed
TTripSummary.TripSummaryGraph,TTripSummary.ActionSheetButtonsBuilder,directed
TTripSummary.TripSummaryGraph,TMediaManager.MediaManager,directed
TTripSummary.TripSummaryGraph,TTripSummary.StorySaver,directed
TTripSummary.TripSummaryGraph,TStories.StoryView,directed
TTripSummary.TripSummaryGraph,TTripSummary.PermissionManager,directed
TTripSummary.TripSummaryGraph,TNetwork.URLRequestFactory,directed
TTripSummary.TripSummaryGraph,TTripSummary.WidgetAuthService,directed
TTripSummary.TripSummaryGraph,TTripSummary.UserActivitiesSender,directed
TTripSummary.TripSummaryGraph,TTripSummary.WidgetEffectHandler,directed
TTripSummary.TripSummaryGraph,TTripSummary.UserHealthDataAvailabilityProvider,directed
TTripSummary.TripSummaryGraph,TTripSummary.WidgetContainer,directed
TTripSummary.TripSummaryGraph,TTripSummary.TripSummaryStoriesConverter,directed
TTripSummary.TripSummaryGraph,TTripSummaryAPI.TripSummaryStoriesModel,directed
Travel.HotelBenefitsViewExt0,Travel.HotelBenefitsViewExt0.Model,directed
Travel.FavoritesCategoriesStateMachineExt0,Travel.FavoritesCategoriesStateMachine,directed
Travel.FavoritesCategoriesStateMachineExt0,Travel.FavoritesCategoriesStateMachineExt0.Action,directed
Travel.PushModalStateMachine,TSnackbar.SnackbarStateMachine,directed
Travel.PushModalStateMachine,Travel.PushModalStateMachineExt1,directed
Travel.PushModalStateMachine,Travel.PushModalStateMachineExt0,directed
Travel.PushModalStateMachine,Travel.PushModalStateMachine,directed
Travel.PushModalStateMachine,Travel.PromoCodeStateMachine,directed
Travel.PushModalStateMachine,TUIUtils.Callbacks,directed
Travel.PushModalStateMachine,TAnalytics.PushModalAnalyticsModel,directed
Travel.PushModalStateMachine,Travel.PushModalModel,directed
Travel.PushModalStateMachine,Travel.DeeplinkModel,directed
TTrips.SkiResortMapView,TTrips.SkiResortMapViewExt0,directed
TTrips.SkiResortMapView,TUIComponents.ThemedRemoteImageView,directed
TCheckout.SplitPaymentDetailsView,TCheckout.SplitPaymentDetailsViewExt0,directed
TCheckout.SplitPaymentDetailsView,TAccessibilityIdentifiers.PaymentInfoSheetViewId,directed
TCheckout.SplitPaymentDetailsView,TLocalization.TLocalizationStrings,directed
TTrips.GuideContentBlockView,TTrips.ShowAllButton,directed
TTrips.GuideContentBlockView,TTrips.ContentCardCellView,directed
TTrips.GuideContentBlockView,TTrips.GuideContentBlockEvent,directed
TTrips.GuideContentBlockView,TTrips.GuideContentBlockViewExt0,directed
TTrips.GuideContentBlockView,TUIUtils.Callbacks,directed
TProto.Travel_App_Backend_Api_Serverconfig_V1_SearchFormLimit,TProto.Travel_App_Backend_Api_Serverconfig_V1_SearchFormLimitExt0,directed
TProto.Travel_App_Backend_Api_Home_V1_CacheableTrip.OneOf_TripCardOnHomeScreen,TProto.Travel_App_Backend_Api_Home_V1_SimplifiedTrip,directed
TProto.Travel_App_Backend_Api_Home_V1_CacheableTrip.OneOf_TripCardOnHomeScreen,TProto.Travel_App_Backend_Api_Home_V1_DetailedTrip,directed
UIComponentsUnitTests.UniversalHotelSkeletonTests,TUIComponents.UniversalHotelSkeleton_Previews,directed
TInputs.MapOverride,TInputs.HotelsInputsStateMachine,directed
TProto.Travel_App_Backend_Api_Home_V1_UserGallery,TProto.Travel_App_Backend_Api_Home_V1_UserGalleryExt0,directed
